trajectory,inter,intra,dissociation time
283,15.50664003,155.1170979,0.669999985
284,9.124714653,160.86406,8.469999811
285,14.703404,156.1872909,6.129999863
286,7.978976269,162.9310222,1.119999975
287,22.16232981,148.2920515,0.999999978
288,13.26425204,157.0441029,1.829999959
289,8.069806576,162.7032023,0.939999979
290,11.67633695,158.5126376,2.839999937
291,14.78929307,155.6562831,2.089999953
292,19.30661716,151.3541244,2.139999952
293,12.44498628,157.7677627,1.459999967
294,14.42988263,156.4585418,2.859999936
295,9.838173124,160.4651179,4.179999907
296,7.31792752,163.3712223,0.779999983
297,7.364136812,163.6237741,1.759999961
298,12.93289278,158.020772,0.809999982
299,6.633542102,164.2644031,4.209999906
300,10.60769764,160.0188563,1.719999962
301,4.973280772,165.7818871,2.589999942
302,8.236045318,161.7996998,2.739999939
303,11.87086562,158.2777555,0.919999979
304,12.24202873,158.7968692,2.109999953
305,11.05288821,159.832466,1.919999957
306,8.875749964,161.7936383,0.989999978
307,12.33517384,158.1223016,2.159999952
308,8.89605847,161.3117798,1.489999967
309,4.319379986,165.6829307,1.459999967
310,14.16046619,156.3808863,0.919999979
311,15.60762559,155.024975,1.109999975
312,5.442461901,163.4826733,7.959999822
313,15.93798356,154.9046605,0.929999979
314,4.974757541,165.1570407,6.059999865
315,22.34752695,148.305461,0.569999987
316,8.782393853,160.8401573,1.859999958
317,6.635684775,163.6078199,2.069999954
318,15.26581944,155.1600143,8.869999802
319,8.249075768,161.598213,4.319999903
320,15.76061058,155.2476197,1.049999977
321,5.613822302,164.9947534,6.379999857
322,10.87233095,159.0408721,2.129999952
323,14.61327019,156.101401,1.079999976
324,3.460389278,166.6797856,2.479999945
325,18.75360329,151.9820586,0.709999984
326,19.23400929,151.073238,0.89999998
327,16.93710093,153.8890779,0.709999984
328,8.416210007,162.3181272,1.049999977
329,12.57585633,158.0595425,3.809999915
330,19.90707434,150.460629,1.109999975
331,9.399725375,160.9665332,0.989999978
332,6.681361115,163.6445032,1.209999973
333,10.92402931,159.9257898,3.11999993
334,12.66240129,158.1300214,0.769999983
335,11.3367341,158.4329807,0.709999984
336,18.36357727,152.0348964,1.259999972
337,3.312846462,166.7880629,4.589999897
338,14.35032695,155.9815726,1.219999973
339,12.5958629,157.8047605,1.159999974
340,7.867492638,162.0618013,2.089999953
341,9.116437598,161.1475197,1.889999958
342,10.91723645,159.5643888,1.009999977
343,13.69040443,157.1618728,1.889999958
344,7.246672909,163.1843746,1.609999964
345,4.15966619,166.5766548,1.099999975
346,14.05176741,156.1551537,1.889999958
347,13.02558985,157.4313224,3.049999932
348,9.973883202,160.8108506,4.179999907
349,12.14817427,158.5976412,1.169999974
350,20.19761044,149.9418871,0.779999983
351,9.872784989,160.6142244,1.749999961
352,12.51382116,158.0202287,5.309999881
353,12.41486162,158.2091065,0.829999981
354,11.53380515,158.9641601,1.80999996
355,6.66866862,164.2694067,2.029999955
356,7.173869478,163.090822,0.779999983
357,17.01304317,153.0801573,0.919999979
358,8.305224732,162.3297069,1.009999977
359,15.77910751,153.7762545,3.939999912
360,13.81478813,156.0177127,0.949999979
361,5.241889207,165.5254753,1.459999967
362,5.553034882,165.5064618,1.599999964
363,6.863128663,163.7437741,1.749999961
364,5.659067763,165.4390994,0.749999983
365,8.529139528,161.9214725,1.609999964
366,13.21690479,157.1717941,1.839999959
367,8.091969264,162.7427448,5.739999872
368,11.19494996,159.1383417,2.399999946
369,20.06601358,150.5539242,0.699999984
370,4.874342673,165.8494496,6.409999857
371,16.01969478,154.5205289,0.779999983
372,10.58614711,159.0632309,3.039999932
373,5.923909221,164.7636455,0.999999978
374,8.587597284,162.0193138,3.019999933
375,11.58451051,158.956812,1.239999972
376,10.99889049,159.6316083,1.149999974
377,8.701751394,161.9148678,1.719999962
378,15.4489534,155.5976984,2.329999948
379,10.81014425,159.9948678,1.629999964
380,7.091037169,163.8334096,1.819999959
381,8.163679914,161.8883059,1.169999974
382,7.994587706,162.7683345,1.149999974
383,3.505264475,166.6561401,5.879999869
384,18.60222259,152.4133381,0.789999982
385,10.64013595,159.4033024,1.509999966
386,16.97789149,153.6273195,0.829999981
387,3.091539814,167.5538385,4.409999901
388,11.80789721,158.7054325,0.949999979
389,24.11561844,146.8496783,0.759999983
390,3.759055754,167.2383274,0.87999998
391,13.1256639,157.4253467,2.459999945
392,10.03656712,160.4606862,3.999999911
393,7.675730522,163.1096926,0.959999979
394,14.19746405,156.361787,1.239999972
395,12.53256683,158.3203288,1.78999996
396,3.952891351,166.07401,7.689999828
397,13.61083617,157.081787,1.729999961
398,6.160614582,164.5749392,1.209999973
399,8.405723374,161.921787,1.129999975
400,11.29585061,159.603817,0.969999978
401,8.634333238,162.0312938,2.349999948
402,27.09762816,143.2873338,0.809999982
403,16.269394,154.1403431,0.629999986
404,13.10996612,157.4812723,0.869999981
405,13.69347148,156.9895783,0.669999985
406,14.81818828,155.7765404,0.799999982
407,17.59436097,152.0771837,3.269999927
408,16.5479178,154.2058184,1.529999966
409,11.72742974,158.4297784,1.639999963
410,12.55070036,158.1545818,1.439999968
411,9.756247748,160.3947248,2.599999942
412,5.556051322,164.387005,4.309999904
413,6.709530665,163.498599,0.869999981
414,8.3290203,161.5909507,0.789999982
415,7.570674339,163.161015,0.929999979
416,16.71949807,154.0929092,1.509999966
417,19.19497913,151.5502645,2.549999943
418,6.91296569,162.856569,1.009999977
419,8.55665461,162.0317227,1.839999959
420,10.57120415,160.3972123,2.119999953
421,8.909050036,161.9037741,0.789999982
422,9.248075625,160.7616154,1.039999977
423,24.47858399,145.7189278,0.619999986
424,4.386583131,165.4898499,12.41999972
425,14.88618628,155.2117655,0.829999981
426,8.11990579,162.4828735,3.309999926
427,4.79586862,165.0774124,0.729999984
428,11.00459085,159.5474053,2.479999945
429,8.671791994,161.154639,0.789999982
430,14.6027421,155.4791851,0.719999984
431,12.47952523,157.749807,0.789999982
432,13.23107777,156.6095926,4.119999908
433,13.80731222,156.5331094,0.759999983
434,14.35775826,155.980143,1.699999962
435,12.30916698,158.4451894,3.289999927
436,6.980204003,163.353238,2.589999942
437,16.39978084,154.1500357,2.349999948
438,9.098492209,161.3464618,2.169999952
439,6.599730522,163.7578985,1.159999974
440,16.38441272,153.5510936,6.469999855
441,7.105558113,163.1828592,0.709999984
442,10.43172137,160.1676483,0.659999985
443,18.00377541,152.2869335,1.649999963
444,7.674388992,162.8576269,0.979999978
445,16.08516612,154.603188,2.889999935
446,7.796391851,162.3950107,5.869999869
447,17.93595468,152.7860901,0.719999984
448,3.848162545,166.1866047,0.979999978
449,9.244377555,160.0045032,1.399999969
450,10.99325933,159.0990851,0.799999982
451,7.20712466,163.7017155,4.4599999
452,22.41726676,148.1793138,0.679999985
453,8.505712509,162.1183846,2.359999947
