trajectory,inter energy,intra energy,dissociation time
1203,17.401,202.257,0.88999998
1204,15.681,203.851,1.249999972
1205,13.446,206.014,1.059999976
1206,12.964,206.566,1.469999967
1207,24.827,194.549,1.319999971
1208,14.168,205.63,1.009999977
1209,14.176,205.368,1.279999971
1210,12.67,206.803,1.229999972
1211,33.319,185.934,1.029999977
1212,25.025,194.605,0.589999987
1213,24.802,194.62,1.679999962
1214,9.555,210.047,5.449999878
1215,23.196,196.544,1.129999975
1216,26.621,192.651,0.949999979
1217,17.423,201.946,1.639999963
1218,15.413,204.306,5.959999867
1219,20.371,199.327,1.509999966
1220,26.101,193.249,1.069999976
1221,10.171,209.318,0.989999978
1222,21.598,197.769,1.169999974
1223,22.952,196.854,1.219999973
1224,18.154,201.11,0.839999981
1225,13.027,206.31,2.119999953
1226,28.483,191.26,0.809999982
1227,39.492,179.817,0.759999983
1228,11.475,207.947,1.489999967
1229,16.226,203.39,0.919999979
1230,20.761,198.629,12.30999972
1231,20.201,199.486,1.059999976
1232,11.658,207.789,1.619999964
1233,14.384,205.281,1.059999976
1234,26.551,193.183,1.279999971
1235,10.405,209.01,1.879999958
1236,29.136,190.188,1.459999967
1237,16.239,203.174,0.999999978
1238,13.464,205.992,2.109999953
1239,18.163,201.138,1.149999974
1240,27.427,191.876,0.839999981
1241,15.484,204.052,1.139999975
1242,39.041,180.769,0.90999998
1243,18.979,200.553,0.89999998
1244,8.391,211.359,9.459999789
1245,14.207,205.093,1.549999965
1246,19.17,200.101,0.809999982
1247,11.596,207.785,1.719999962
1248,14.14,205.481,5.289999882
1249,23.597,195.712,2.069999954
1250,16.334,203.457,1.069999976
1251,25.039,194.307,0.779999983
1252,28.345,191.406,0.949999979
1253,17.313,201.94,2.059999954
1254,10.867,208.759,1.33999997
1255,19.833,199.532,0.839999981
1256,18.895,200.827,1.099999975
1257,12.72,206.879,1.279999971
1258,5.416,214.296,2.049999954
1259,8.17,211.645,0.87999998
1260,26.183,193.609,0.979999978
1261,22.009,197.648,1.239999972
1262,33.509,185.885,0.919999979
1263,14.985,204.466,1.33999997
1264,14.657,204.716,9.209999794
1265,25.393,194.308,0.739999983
1266,6.027,213.557,8.649999807
1267,9.106,210.153,1.389999969
1268,16.782,203.018,1.029999977
1269,19.13,200.293,0.929999979
1270,34.254,185.38,0.619999986
1271,19.556,199.799,0.969999978
1272,23.759,195.881,1.509999966
1273,19.193,200.392,0.90999998
1274,10.28,209.1,6.899999846
1275,31.003,188.581,0.779999983
1276,15.755,203.91,1.429999968
1277,15.049,204.399,6.549999854
1278,18.672,200.774,1.049999977
1279,23.341,196.096,0.819999982
1280,12.642,206.831,1.319999971
1281,14.855,204.589,1.889999958
1282,26.815,192.832,0.839999981
1283,8.542,211.246,1.189999973
1284,8.334,211.458,3.469999922
1285,24.143,195.446,1.089999976
1286,32.94,186.352,1.079999976
1287,18.952,200.652,1.77999996
1288,28.395,191.398,0.979999978
1289,24.106,195.695,0.749999983
1290,15.275,204.35,0.979999978
1291,19.97,199.709,4.769999893
1292,16.243,203.393,1.109999975
1293,11.835,207.626,9.939999778
1294,23.563,195.939,1.579999965
1295,10.23,209.573,10.85999976
1296,10.827,208.975,1.949999956
1297,19.018,200.597,2.509999944
1298,14.62,204.99,1.199999973
1299,24.426,195.382,0.769999983
1300,19.191,200.264,0.999999978
1301,17.286,202.021,1.949999956
1302,32.059,187.714,0.849999981
1303,20.108,199.569,0.87999998
1304,11.749,208.058,1.289999971
1305,24.656,194.841,1.719999962
1306,12.408,207.049,3.379999924
1307,16.102,203.406,1.999999955
1308,22.507,196.835,1.589999965
1309,20.971,198.324,1.059999976
1310,3.323,216.054,1.859999958
1311,22.435,197.035,0.949999979
1312,28.661,190.601,1.069999976
1313,20.761,199.033,7.229999838
1314,23.05,196.65,1.959999956
1315,20.638,199.001,1.34999997
1316,20.22,199.452,1.519999966
1317,10.808,208.607,8.149999818
1318,21.335,198.102,1.079999976
1319,9.367,210.405,12.30999972
1320,16.098,203.233,1.549999965
1321,12.841,206.924,3.58999992
1322,16.669,202.968,1.589999965
1323,19.825,199.987,1.219999973
1324,8.886,210.531,4.849999892
1325,12.398,207.16,7.769999826
1326,8.062,211.609,1.80999996
1327,20.639,198.847,0.819999982
1328,17.132,202.65,1.529999966
1329,21.097,198.17,1.109999975
1330,18.067,201.359,0.859999981
1331,12.122,207.155,0.929999979
1332,9.793,209.749,3.469999922
1333,24.883,194.834,1.249999972
1334,14.785,204.866,6.519999854
1335,4.304,215.261,5.169999884
1336,12.164,207.567,2.139999952
1337,17.14,202.617,3.629999919
1338,20.752,199.047,0.89999998
1339,13.77,205.718,1.389999969
1340,11.995,207.322,3.849999914
1341,16.687,202.713,1.059999976
1342,14.62,205.015,8.619999807
1343,20.036,199.548,3.209999928
1344,7.636,212.153,3.869999914
1345,13.259,206.313,1.409999969
1346,30.456,189.325,0.799999982
1347,22.35,197.387,1.35999997
1348,7.519,211.972,1.289999971
1349,7.603,211.689,2.209999951
1350,32.92,186.632,0.919999979
1351,15.398,204.406,3.12999993
1352,27.259,192.108,3.899999913
1353,33.739,185.801,1.089999976
1354,18.935,200.452,1.889999958
1355,23.86,195.805,0.999999978
1356,24.175,195.282,0.829999981
1357,14.321,205.179,3.289999927
1358,14.912,204.805,1.369999969
1359,10.098,209.233,1.179999974
1360,26.495,193.047,1.089999976
1361,15.267,204.441,2.989999933
1362,19.152,200.605,1.549999965
1363,10.416,209.318,2.68999994
1364,24.356,195.441,0.979999978
1365,20.214,199.406,1.80999996
1366,21.091,198.625,1.249999972
1367,14.799,204.778,0.949999979
1368,15.037,204.405,2.439999945
1369,11.658,207.91,2.879999936
1370,12.545,206.825,1.609999964
1371,18.166,201.6,1.749999961
1372,10.047,209.654,10.38999977
1373,15.893,203.736,2.069999954
1374,21.447,198.262,1.459999967
1375,16.549,202.727,1.019999977
1376,20.096,199.521,1.589999965
1377,15.332,204.253,2.039999954
1378,8.1,211.555,1.099999975
1379,15.587,204.219,1.219999973
1380,18.288,200.97,1.209999973
1381,18.175,201.576,1.399999969
1382,13.838,205.572,2.139999952
1383,23.492,196.278,1.129999975
1384,13.683,205.847,1.049999977
1385,23.717,195.909,1.32999997
1386,16.184,203.242,1.35999997
1387,29.626,189.694,1.129999975
1388,25.135,194.399,1.089999976
1389,16.699,202.762,0.629999986
1390,14.832,204.772,1.669999963
1391,36.355,183.265,0.639999986
1392,23.986,195.546,2.339999948
1393,34.28,185.521,0.759999983
1394,26.062,193.627,15.26999966
1395,11.566,208.004,1.439999968
1396,22.313,197.076,1.229999972
1397,30.469,188.89,1.139999975
1398,10.04,209.314,14.03999969
1399,24.077,195.614,1.039999977
1400,12.22,207.35,1.129999975
1401,12.67,206.7,1.439999968
1402,6.423,213.031,8.129999818
1403,16.193,203.373,1.259999972
1404,13.129,206.174,1.029999977
1405,19.872,199.607,1.009999977
1406,9.467,210.179,9.099999797
1407,8.884,210.573,0.959999978
1408,26.54,193.211,0.819999982
1409,20.29,199.501,0.919999979
1410,16.849,202.955,21.13999953
1411,10.579,209.176,3.469999922
1412,23.408,195.969,0.869999981
1413,23.679,196.102,1.139999975
1414,21.161,198.483,0.799999982
1415,21.088,198.173,3.019999933
1416,21.366,198.183,1.939999957
1417,20.186,199.105,0.859999981
1418,18.713,200.991,0.939999979
1419,10.93,208.751,2.489999944
1420,20.312,199.22,1.269999972
1421,9.817,209.865,2.179999951
1422,26.737,192.526,1.059999976
1423,15.353,204.146,1.069999976
1424,22.342,197.066,0.669999985
1425,18.13,201.376,1.219999973
1426,15.435,204.381,1.32999997
